"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"5967",22205.9005227752,-5.77253816064236,1.19111433069273,-4.84633423668503,1.25763572892785e-06,0.000300927077217856
"5068",86.4783685359943,-6.49875344048679,1.03760688493479,-6.26321349139393,3.77123735858221e-10,2.18318147216504e-07
"400966",338.370956012697,-1.27540077437239,0.320087609589935,-3.98453653362688,6.76119550854335e-05,0.00819840639164318
"729857",312.768840841611,-1.28807246012995,0.326921849410805,-3.94000114232615,8.14812211255292e-05,0.00937347432255608
"29842",1198.6059899207,-1.17947144389616,0.247134848400003,-4.77258246472431,1.81878598860216e-06,0.000398047967700664
"9874",5068.67089138311,-0.931718488775046,0.266008605030152,-3.50258777782559,0.000460761937617481,0.0371420129627881
"107985782",52.582383717531,-3.10472787345927,0.837529845853867,-3.70700565338538,0.000209724262937879,0.019985752671901
"401024",455.643010491776,-1.9623842087853,0.43535967328373,-4.50750110588766,6.5595588959875e-06,0.00114289168880963
"7855",429.882754199518,-1.36001401209803,0.397996882485798,-3.41714739975774,0.000632810075394933,0.047679165939303
"10752",892.250360788016,-1.24098116756451,0.257464035537764,-4.82001754137223,1.43545599228666e-06,0.00033895648996811
"100126793",248.427576436212,-3.16983536004004,0.389018354442159,-8.14829255186557,3.69098553803522e-16,4.13990165409876e-13
"51738",1093.9025633164,-5.12876875634879,0.319243885714517,-16.0653625201617,4.46247851854423e-58,1.33472732489658e-54
"151647",25.7900980388301,-6.75341384456491,1.78786536908608,-3.77736151800799,0.000158498582163062,0.0162538031742761
"131368",131.216851972324,-1.91548625100421,0.506005960795503,-3.78550135653113,0.000153398997355247,0.0158212552099843
"25945",1418.11969448017,-1.19028496176565,0.338813013380181,-3.51310284658411,0.000442906001867721,0.0361290504978097
"1360",31367.7159967424,-4.85115995558218,0.972171097278083,-4.99002692958536,6.03708755970651e-07,0.000161703840815661
"9197",1216.47875934917,-1.36640378744322,0.257398020013927,-5.30852485722029,1.10516015392163e-07,3.74635671661848e-05
"79674",36.8591497353091,-3.24294527926338,0.911908849089648,-3.55621648205386,0.000376234092521189,0.0327411428773833
"5276",379.045801508789,-5.70582812605907,1.33749716780029,-4.26604875391485,1.9896531853795e-05,0.00307813069524315
"51555",309.664718680828,-1.30568107255589,0.353276319769937,-3.6959201607574,0.000219091820667734,0.020585454522006
"285382",121.77664137863,-1.98287105875451,0.563755293476599,-3.51725488292344,0.000436034863757896,0.0358948700229321
"100379220",90.6697974618282,-3.89281233141514,0.99046047711409,-3.93030557136177,8.4837973230926e-05,0.00957548595976225
"55286",186.409657569403,-1.50700447480836,0.424931510883639,-3.54646439769686,0.000390437494647277,0.0333173353488952
"55276",254.334847099418,-1.64470637350422,0.445831112012488,-3.6890794051586,0.00022506697203554,0.0208297803897804
"2555",46.1831470411558,-6.59443902025571,1.55350095320774,-4.24488894367218,2.18701710721174e-05,0.00335454777829247
"213",729.641440834715,-4.95825704342154,1.3428687010138,-3.69228729486233,0.00022224619934629,0.0207730744451486
"153020",1222.04524766036,-1.05892180012155,0.303547266940626,-3.48849064198188,0.000485755824760591,0.0382340966278665
"152926",1792.98120437918,-0.970875631296976,0.202297525276884,-4.7992462091078,1.59263910268047e-06,0.000367880810636065
"54848",103.368057672125,-2.09213651017326,0.531908434425556,-3.9332644018565,8.37999722836875e-05,0.00951819178862693
"58505",3443.74796626997,-1.12395006120908,0.187144705772202,-6.00578069559279,1.904134256265e-09,9.49210926748104e-07
"1950",60.882236608756,-6.38889648971049,1.34121731217781,-4.76350583287391,1.90258108508083e-06,0.000406472858962625
"10424",2269.60688761704,-0.68696233755935,0.190979282298665,-3.59705162408683,0.000321844625973905,0.0285931864243946
"101928223",221.906216594349,-1.72090890283875,0.403171755476118,-4.26842624629415,1.96856893078019e-05,0.00307199461145925
"2823",2006.44040669382,-1.54129767102634,0.277161380874232,-5.56101166102118,2.68215272991282e-08,1.0939525657049e-05
"2160",518.077279836316,-1.21388940583914,0.327304848242509,-3.70874251437832,0.000208291105692041,0.019985752671901
"65983",1116.14981963275,-0.861903560281578,0.252730359383627,-3.41036811874773,0.000648752509385048,0.0481095559232399
"51128",3755.97094114973,-0.809548823344696,0.231100464767143,-3.50301685529017,0.000460020352866954,0.0371420129627881
"56125",259.958277022477,-1.37874277208893,0.353845931793488,-3.89644940977757,9.76131857418877e-05,0.0108133717982958
"6690",9505.23411937514,-5.07665308212493,1.21828753446819,-4.16704015964591,3.08580151148563e-05,0.00425983030193239
"2554",200.363359191591,-2.92146531858949,0.84686988477685,-3.44972158191609,0.000561164983961623,0.0432217459320828
"6745",7009.49957628758,-0.852813754431512,0.23351925241363,-3.65200618628623,0.000260199615239646,0.0238241953831157
"1208",12249.1157878851,-5.05569370668136,0.952409678296139,-5.30831828139965,1.10641316160024e-07,3.74635671661848e-05
"105377862",117.688177474495,-1.70876069039133,0.498750752678401,-3.42608142687486,0.000612356776243115,0.0465611397175783
